"AK","RETCB",18097.00
"AK","TETCB",641663.00
"AL","RETCB",245778.00
"AL","TETCB",1959696.00
"AR","RETCB",125411.00
"AR","TETCB",1125639.00
"AZ","RETCB",114006.00
"AZ","TETCB",1399609.00
"CA","RETCB",801627.00
"CA","TETCB",7825673.00
"CO","RETCB",76989.00
"CO","TETCB",1516856.00
"CT","RETCB",39339.00
"CT","TETCB",753954.00
"DC","RETCB",682.00
"DC","TETCB",185461.00
"DE","RETCB",6143.00
"DE","TETCB",256209.00
"FL","RETCB",303276.00
"FL","TETCB",4381926.00
"GA","RETCB",238951.00
"GA","TETCB",3155657.00
"HI","RETCB",20623.00
"HI","TETCB",272156.00
"IA","RETCB",338614.00
"IA","TETCB",1492314.00
"ID","RETCB",134840.00
"ID","TETCB",533765.00
"IL","RETCB",190894.00
"IL","TETCB",3936690.00
"IN","RETCB",141311.00
"IN","TETCB",2871099.00
"KS","RETCB",75329.00
"KS","TETCB",1165261.00
"KY","RETCB",77008.00
"KY","TETCB",1976514.00
"LA","RETCB",122916.00
"LA","TETCB",4065372.00
"MA","RETCB",62942.00
"MA","TETCB",1396862.00
"MD","RETCB",60520.00
"MD","TETCB",1481070.00
"ME","RETCB",151289.00
"ME","TETCB",407297.00
"MI","RETCB",166265.00
"MI","TETCB",2798125.00
"MN","RETCB",213578.00
"MN","TETCB",1867307.00
"MO","RETCB",85595.00
"MO","TETCB",1928366.00
"MS","RETCB",68527.00
"MS","TETCB",1189177.00
"MT","RETCB",120262.00
"MT","TETCB",401412.00
"NC","RETCB",187362.00
"NC","TETCB",2705219.00
"ND","RETCB",86033.00
"ND","TETCB",480718.00
"NE","RETCB",129717.00
"NE","TETCB",843793.00
"NH","RETCB",43493.00
"NH","TETCB",295495.00
"NJ","RETCB",59256.00
"NJ","TETCB",2447538.00
"NM","RETCB",39981.00
"NM","TETCB",680119.00
"NV","RETCB",59180.00
"NV","TETCB",646084.00
"NY","RETCB",437200.00
"NY","TETCB",3728437.00
"OH","RETCB",126170.00
"OH","TETCB",3833717.00
"OK","RETCB",102730.00
"OK","TETCB",1551623.00
"OR","RETCB",400890.00
"OR","TETCB",977070.00
"PA","RETCB",173440.00
"PA","TETCB",3758834.00
"RI","RETCB",7182.00
"RI","TETCB",197216.00
"SC","RETCB",130209.00
"SC","TETCB",1661633.00
"SD","RETCB",130678.00
"SD","TETCB",379601.00
"TN","RETCB",182144.00
"TN","TETCB",2250577.00
"TX","RETCB",465135.00
"TX","TETCB",11769900.00
"US","RETCB",8055604.00
"US","TETCB",97710638.00
"UT","RETCB",23116.00
"UT","TETCB",763707.00
"VA","RETCB",139799.00
"VA","TETCB",2502056.00
"VT","RETCB",29051.00
"VT","TETCB",147630.00
"WA","RETCB",834905.00
"WA","TETCB",2036516.00
"WI","RETCB",179260.00
"WI","TETCB",1800072.00
"WV","RETCB",41312.00
"WV","TETCB",738858.00
"WY","RETCB",46549.00
"WY","TETCB",535267.00
